#lambda    flux1    flux2    flux3    flux4
4266.79   0.0265   0.0224   0.0167   0.0331
4267.79   0.0264   0.0232   0.0133   0.0245
4268.78   0.0262   0.0239   0.0117   0.0173
4269.78   0.0260   0.0232   0.0077   0.0119
4270.78   0.0255   0.0238   0.0032  -0.0029
4271.77   0.0246   0.0260   0.0015  -0.0218
4272.77   0.0242   0.0258   0.0049  -0.0228
4273.77   0.0247   0.0242   0.0066  -0.0109
4274.77   0.0251   0.0244   0.0060  -0.0099
4275.76   0.0252   0.0250   0.0070  -0.0028
4276.76   0.0256   0.0239   0.0085   0.0062
4277.76   0.0260   0.0223   0.0134   0.0220
4278.76   0.0262   0.0223   0.0153   0.0283
4279.76   0.0262   0.0223   0.0157   0.0273
4280.76   0.0261   0.0223   0.0139   0.0260
4281.76   0.0258   0.0233   0.0094   0.0133
4282.76   0.0253   0.0237   0.0069  -0.0027
4283.76   0.0251   0.0236   0.0082  -0.0068
4284.76   0.0253   0.0227   0.0069   0.0019
4285.76   0.0257   0.0228   0.0076   0.0111
4286.76   0.0257   0.0236   0.0093   0.0102
4287.76   0.0255   0.0237   0.0056   0.0022
4288.76   0.0249   0.0234   0.0004  -0.0193
4289.76   0.0241   0.0255  -0.0042  -0.0461
4290.76   0.0236   0.0264  -0.0045  -0.0528
4291.77   0.0242   0.0241   0.0038  -0.0265
4292.77   0.0251   0.0225   0.0093   0.0034
4293.77   0.0252   0.0223   0.0102   0.0055
4294.77   0.0247   0.0224   0.0102  -0.0048
4295.78   0.0246   0.0223   0.0085  -0.0054
4296.78   0.0249   0.0215   0.0039  -0.0046
4297.78   0.0250   0.0212  -0.0000  -0.0058
4298.79   0.0245   0.0232  -0.0041  -0.0248
4299.79   0.0235   0.0243  -0.0078  -0.0512
4300.79   0.0229   0.0249  -0.0055  -0.0563
4301.80   0.0229   0.0250  -0.0052  -0.0532
4302.80   0.0230   0.0246  -0.0068  -0.0547
4303.81   0.0233   0.0241  -0.0034  -0.0425
4304.81   0.0240   0.0231   0.0009  -0.0202
4305.82   0.0244   0.0224  -0.0020  -0.0117
4306.82   0.0242   0.0228  -0.0038  -0.0150
4307.83   0.0236   0.0230  -0.0032  -0.0234
4308.83   0.0231   0.0227  -0.0019  -0.0244
4309.84   0.0234   0.0222  -0.0016  -0.0118
4310.85   0.0241   0.0214   0.0010   0.0017
4311.85   0.0244   0.0200   0.0049   0.0112
4312.86   0.0241   0.0199   0.0035   0.0039
4313.87   0.0232   0.0204  -0.0026  -0.0225
4314.87   0.0226   0.0195  -0.0081  -0.0395
4315.88   0.0226   0.0185  -0.0065  -0.0315
4316.89   0.0232   0.0165  -0.0025  -0.0077
4317.90   0.0238   0.0148  -0.0005   0.0115
4318.90   0.0238   0.0147  -0.0030   0.0169
4319.91   0.0234   0.0143  -0.0054   0.0074
4320.92   0.0230   0.0142  -0.0069  -0.0015
4321.93   0.0229   0.0140  -0.0054  -0.0016
4322.94   0.0230   0.0128  -0.0042   0.0137
4323.95   0.0230   0.0124  -0.0043   0.0245
4324.96   0.0223   0.0133  -0.0082   0.0052
4325.97   0.0214   0.0132  -0.0125  -0.0168
4326.98   0.0210   0.0121  -0.0128  -0.0122
4327.99   0.0213   0.0096  -0.0114   0.0103
4329.00   0.0216   0.0073  -0.0129   0.0290
4330.01   0.0214   0.0058  -0.0145   0.0307
4331.02   0.0209   0.0051  -0.0154   0.0235
4332.03   0.0205   0.0052  -0.0169   0.0241
4333.04   0.0201   0.0026  -0.0192   0.0279
4334.06   0.0196  -0.0004  -0.0202   0.0291
4335.07   0.0189  -0.0017  -0.0222   0.0314
4336.08   0.0181  -0.0025  -0.0264   0.0277
4337.09   0.0169  -0.0029  -0.0301   0.0174
4338.11   0.0153  -0.0034  -0.0327   0.0052
4339.12   0.0135  -0.0044  -0.0343  -0.0037
4340.13   0.0115  -0.0049  -0.0271  -0.0051
4341.15   0.0101  -0.0047  -0.0160   0.0083
4342.16   0.0105  -0.0063  -0.0106   0.0291
4343.17   0.0125  -0.0088  -0.0169   0.0423
4344.19   0.0146  -0.0081  -0.0248   0.0397
4345.20   0.0160  -0.0056  -0.0249   0.0365
4346.22   0.0172  -0.0039  -0.0217   0.0401
4347.23   0.0182  -0.0035  -0.0198   0.0426
4348.25   0.0191  -0.0018  -0.0183   0.0439
